Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,34088.3984375,34148.8984375,33389.1484375,33603.44921875,33603.44921875,0
2021-03-23,33747.94921875,34360.05078125,33622.0,34184.3984375,34184.3984375,0
2021-03-24,33894.69921875,33970.6484375,33203.3984375,33293.25,33293.25,0
2021-03-25,33420.75,33550.1484375,32415.25,33006.44921875,33006.44921875,0
2021-03-26,33605.05078125,33610.6484375,33166.1015625,33318.19921875,33318.19921875,0
2021-03-30,33615.8984375,33990.80078125,33564.55078125,33875.1015625,33875.1015625,374200
2021-03-31,33764.80078125,33773.1015625,33151.80078125,33303.8984375,33303.8984375,0
2021-04-01,33588.0,33949.1484375,33208.75,33858.0,33858.0,0
2021-04-05,33649.1484375,33697.75,32330.150390625,32678.849609375,32678.849609375,0
2021-04-06,32915.6484375,33007.6484375,32338.400390625,32501.349609375,32501.349609375,0
2021-04-07,32529.69921875,33191.69921875,32141.55078125,32991.19921875,32991.19921875,0
2021-04-08,33154.19921875,33306.80078125,32704.75,32782.8515625,32782.8515625,0
2021-04-09,32636.900390625,32972.1484375,32329.94921875,32448.05078125,32448.05078125,0
2021-04-12,31637.900390625,31698.05078125,30520.30078125,30792.0,30792.0,0
2021-04-13,30901.80078125,31885.44921875,30722.849609375,31771.599609375,31771.599609375,0
2021-04-15,31929.099609375,32187.05078125,31406.400390625,32112.849609375,32112.849609375,0
2021-04-16,32161.44921875,32325.150390625,31911.900390625,31977.44921875,31977.44921875,0
2021-04-19,30993.44921875,31304.30078125,30405.650390625,31208.400390625,31208.400390625,0
2021-04-20,31568.94921875,31731.650390625,30891.0,31112.69921875,31112.69921875,0
2021-04-22,30763.5,31834.5,30555.25,31782.599609375,31782.599609375,368400
2021-04-23,31490.599609375,32148.400390625,31377.150390625,31722.30078125,31722.30078125,0
2021-04-26,32316.650390625,32603.69921875,32144.80078125,32275.150390625,32275.150390625,0
2021-04-27,32228.94921875,32807.1015625,32152.94921875,32735.349609375,32735.349609375,0
2021-04-28,32865.5,33777.69921875,32840.30078125,33722.80078125,33722.80078125,0
2021-04-29,33901.6015625,34287.0,33304.6015625,33714.5,33714.5,0
2021-04-30,33112.3984375,33455.25,32663.400390625,32781.80078125,32781.80078125,0
2021-05-03,32368.55078125,32566.599609375,31906.55078125,32465.75,32465.75,351000
2021-05-04,32610.400390625,33011.55078125,32191.400390625,32270.349609375,32270.349609375,786800
2021-05-05,32577.099609375,32862.1484375,32068.55078125,32783.69921875,32783.69921875,0
2021-05-06,32900.75,32956.3515625,32564.0,32827.80078125,32827.80078125,0
2021-05-07,33041.6484375,33259.1484375,32771.3515625,32904.5,32904.5,0
2021-05-10,33175.30078125,33297.6015625,33028.1484375,33142.3984375,33142.3984375,0
2021-05-11,32640.94921875,33154.30078125,32611.69921875,32872.19921875,32872.19921875,0
